"Techstack","Links"
"Machine Learning, Deep Learning, Streamlit","https://github.com/Manav54321/Cost_Estimation_Network"
"MLOps, Python, Docker, GitHub Actions","https://github.com/Manav54321/MLOps_Vehicle_Insurance"
